"","logFC","logCPM","F","PValue"
"transcript:SPU_003719-tr",0.355706689752297,2.1061613465782,3.50561224850735,0.0628471338347494
"transcript:SPU_003720-tr",0.347834111452667,4.33388643984858,11.9651649234878,0.00068234867788287
"transcript:SPU_003718-tr",0.0367595944070833,9.90818096586427,0.349371623419806,0.555239787940697
"transcript:SPU_003717-tr",0.0172643365555957,4.65935725205393,0.0363364577242664,0.849045641127758
"transcript:SPU_002684-tr",-0.128231936674698,3.17922010614324,0.821179008063135,0.366094863110335
"transcript:SPU_005037-tr",-0.122285148213798,1.19471505213388,0.203682150637284,0.652329676623683
"transcript:SPU_000212-tr",-0.293181747568397,4.77413641075729,10.1290630687186,0.00173034007849852
"transcript:SPU_025125-tr",-0.150192412621617,2.58063708473983,0.836116642546595,0.361781244808806
"transcript:SPU_022821-tr",-0.468994953133791,1.52065260654876,3.79665167729837,0.0529714143408575
"transcript:SPU_025144-tr",-0.0547709346306223,3.52339088121133,0.190110837208329,0.663367458760599
"transcript:SPU_025305-tr",0.327246975924171,3.24960703461708,5.80250999243895,0.0170521231250038
"transcript:SPU_006432-tr",-0.226410141892143,3.8069722518893,3.53958797107233,0.0617605755596763
"transcript:SPU_005004-tr",-0.167545649952102,3.88734733493387,2.07684344674148,0.151367317209788
"transcript:SPU_023161-tr",-0.188384660620626,3.38702096051978,2.11122504898554,0.148031952814907
"transcript:SPU_023160-tr",-0.0938209156708771,4.17938442211744,0.794329057493506,0.3740309989221
"transcript:SPU_027236-tr",0.339599995612877,9.75472799503112,28.9139641727254,2.88829055992013e-07
"transcript:SPU_027233-tr",-0.203014032965562,3.19758210594809,2.24247178855453,0.136086768800378
"transcript:SPU_012533-tr",-1.98237152118397,0.854434548399243,33.3385727620018,3.5097886478293e-08
"transcript:SPU_002074-tr",0.29285885306282,0.267456146849148,0.586052076571749,0.444991990445743
"transcript:SPU_017778-tr",-0.165463306575689,6.39548990381612,6.30155035088145,0.0129801935449916
"transcript:SPU_017779-tr",0.0609260331469261,4.49742116286226,0.418543998525985,0.518521092080755
"transcript:SPU_017777-tr",0.103178024637681,4.86296122750178,1.311500949875,0.253703373866635
"transcript:SPU_017780-tr",0.119098468326291,4.4786557549583,1.52090308231107,0.219154327339359
"transcript:SPU_002043-tr",0.0774512122755661,0.521897659535585,0.0510421725783673,0.821526074081978
"transcript:SPU_024607-tr",-0.0665961840000177,2.11853341563216,0.110864926759915,0.739603709785128
"transcript:SPU_011986-tr",-0.116208308962962,3.69737857147705,0.876676889301205,0.350417422943127
"transcript:SPU_011987-tr",0.903397397442518,-0.0518687653496235,4.16393322054101,0.0428117875151808
"transcript:SPU_011985-tr",0.203082192729812,7.74321252575225,11.2959579358338,0.000955732204170063
"transcript:SPU_018944-tr",0.308930002718654,4.97640363886797,11.4712991429488,0.000874769365747141
"transcript:SPU_018943-tr",-0.114928456753175,2.42244095186151,0.402454947759409,0.526661336984041
"transcript:SPU_009451-tr",-0.471136687999277,1.94453521756987,5.03800341018875,0.0260631654386876
"transcript:SPU_016636-tr",0.256465290923467,0.0519971951443871,0.38799648292335,0.53417388332578
"transcript:SPU_016637-tr",-0.39534344467769,1.68075431075149,3.00290692819856,0.0848955376851518
"transcript:SPU_016635-tr",-0.012516303069192,4.03287964556906,0.0136939749750059,0.906978819486551
"transcript:SPU_012408-tr",-0.42920692708549,0.119030812890477,1.16551223695407,0.281826670351347
"transcript:SPU_021956-tr",-0.0801028543080451,0.159838871720775,0.0433840998424069,0.835248493041503
"transcript:SPU_022265-tr",0.151938942802601,10.052119200846,6.18926145129025,0.013798532210308
"transcript:SPU_022264-tr",0.0137731403207231,8.41649374877304,0.0510637066732216,0.821489069888725
"transcript:SPU_022266-tr",-0.178038159957331,4.31727869530332,3.0064238119474,0.084714841608645
"transcript:SPU_022263-tr",0.353974909687208,5.92010622048599,24.3141478857967,1.9065914277924e-06
"transcript:SPU_022267-tr",0.134537185040729,6.50078208191442,4.42253796883334,0.0369125430847048
"transcript:SPU_022262-tr",0.0418304550449683,2.7376670049099,0.0684602987797851,0.793902872515667
